Message,Extracted,Expected
"MPIN changed successfully @CANDI on 13-Apr-2022 at 21:53:35. If not you, send SUSPECT to 56161. Helpline 18004250018.-Canara Bank.",132022,nan
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.953.57CASHUPIPayment Link. Code refuse 957881,95362,957881
Arriving today: ONLINE shipment 2920584874. Use otp 716397 to receive your package. Call 08046809000 PIN:33476 - Ecom Express,33476,716397
ARRIVING TODAY: Delivery Agent 914954269489 bring order 1 Kook N Keech Marve... today. Use Pin 8485861106 prompted. His/her body temp. recorded 12:36 PM 95F. Pay Rs. 279.00 time delivery. ensure minimum contact delivery encourage UPI Card payment. delivery agent ensuring highest safety standards stay safe home. - Team Myntra.,1236,nan
ARRIVING TODAY: Delivery Agent 912241498065 bring order 1 HRX Hrithik Ros... today. Use Pin 7875313460 prompted. His/her body temp. recorded 11:17 97.6F. Pay Rs. 549.00 time delivery. ensure minimum contact delivery encourage UPI Card payment. delivery agent ensuring highest safety standards stay safe home. - Team Myntra.,1117,nan
"ARRIVING TODAY: Our Delivery Agent (+912241498037) will bring your order with 1 HRX by Hrithik Ros... today. Use Pin 7875313460 if prompted. His/her body temp. recorded at 11:14 AM was 97.7F. Pay Rs. 549.00 at the time of delivery. To ensure minimum contact delivery, we encourage UPI or Card payment. Our delivery agent is ensuring the highest safety standards so you can stay safe at home!. - Team Myntra.",1114,nan
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 572662.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 919663 RS. 509501 A/C NO. XXXX4445 992137. DO NOT SHARE.",4445,992137
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 750511 RS. 492458 A/C NO. XXXX9237 443210. DO NOT SHARE.",9237,443210
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 184892 RS. 322180 A/C NO. XXXX1852 636900. DO NOT SHARE.",1852,636900
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 644176 RS. 448134 A/C NO. XXXX4677 462202. DO NOT SHARE.",4677,462202
